,publication,is_uni_newspaper,url,article_title,date,author,is_student
125,richmondconfidential,1,https://richmondconfidential.org/2024/07/03/richmond-wccusd-lcap-budget-deadline/,"After ‘unprecedented’ decision, WCCUSD racing to pass LCAP and budget",2024-07-03,,
126,richmondconfidential,1,https://richmondconfidential.org/2024/06/28/wccusd-poised-to-miss-budget-deadline-amid-lcap-controversy/,WCCUSD poised to miss budget deadline amid LCAP controversy,2024-06-29,,
127,richmondconfidential,1,https://richmondconfidential.org/2024/06/25/richmond-reporter-in-residence-berkeley-pulse-program/,Interested in journalism? Consider joining us,2024-06-25,,
128,richmondconfidential,1,https://richmondconfidential.org/2024/06/21/richmond-bart-service-interruptions-red-orange-lines/,BART riders take note: Richmond line interruptions start this weekend,2024-06-22,,
129,richmondconfidential,1,https://richmondconfidential.org/2024/06/20/richmond-double-dutch-and-black-culture-juneteenth-party/,Double-Dutch and Black culture: the pairing takes center stage at Richmond Juneteenth party,2024-06-20,,
130,crosstown,0,https://xtown.la/2024/07/24/housing-supply-los-angeles/,Building slowdown could further tighten housing market,2024-07-24,,
131,crosstown,0,https://xtown.la/2024/07/22/covid-19-makes-a-summer-comeback-in-los-angeles/,COVID makes a summer comeback in Los Angeles,2024-07-22,,
132,crosstown,0,https://xtown.la/2024/07/16/how-murders-in-los-angeles-compare-with-the-rest-of-california/,How murders in Los Angeles compare with the rest of California,2024-07-16,,
133,crosstown,0,https://xtown.la/2024/07/11/burglaries-up-4-in-los-angeles-in-first-half-of-2024/,Burglaries up slightly in Los Angeles in first half of 2024,2024-07-11,,
134,crosstown,0,https://xtown.la/2024/07/08/street-cleaning-is-the-most-common-parking-ticket-in-los-angeles/,To live and park in L.A.: the street cleaning challenge,2024-07-08,,
135,crosstown,0,https://xtown.la/2024/07/01/as-july-4-approaches-illegal-fireworks-calls-skyrocket-in-los-angeles/,"As July 4 approaches, fireworks calls skyrocket",2024-07-01,,
136,crosstown,0,https://xtown.la/2024/06/28/los-angeless-homelessness-crisis-visualized/,Los Angeles’s homelessness crisis visualized,2024-06-28,,
137,crosstown,0,https://xtown.la/2024/06/26/number-of-parking-tickets-issued-in-los-angeles-climbs-slightly-this-year/,Number of parking tickets issued in Los Angeles climbs slightly this year,2024-06-26,,
138,crosstown,0,https://xtown.la/2024/06/25/more-street-racing-and-sideshows-in-los-angeles-but-few-effective-laws/,"More street racing in Los Angeles, but few effective laws",2024-06-25,,
139,crosstown,0,https://xtown.la/2024/06/18/robberies-fall-nationwide-but-are-up-18-percent-this-year-in-los-angeles/,Robberies up 18% this year in Los Angeles,2024-06-18,Jon Regardie,1
140,metmedia,0,https://www.mymetmedia.com/denvers-mustang-gateway-to-the-west/,Denver’s Mustang: Gateway to the West,2024-07-11,,
141,metmedia,0,https://www.mymetmedia.com/goodbye-from-a-longtime-editor/,Goodbye from a longtime editor,2024-06-26,,
142,metmedia,0,https://www.mymetmedia.com/dont-worry-youre-so-good-at-making-friends/,"Don’t Worry, You’re so Good at Making Friends – A poem by Katie Martinez",2024-06-20,,
143,metmedia,0,https://www.mymetmedia.com/photos-general-jim-mattis-visits-msu-denver/,Photos: General Jim Mattis visits MSU Denver,2024-06-07,,
144,metmedia,0,https://www.mymetmedia.com/three-weeks-of-confusion-and-discord-on-the-auraria-campus-and-a-conversation-with-one-of-americas-luminaries/,The General and the Specter,2024-05-28,Alex Petrich,0
145,metmedia,0,https://www.mymetmedia.com/slutwalk-the-call-to-end-rape-culture/,SLUTWALK: The call to end rape culture,2024-05-24,,
146,metmedia,0,https://www.mymetmedia.com/my-body-is-mine-a-digital-collage-by-aya-itani/,“My Body is Mine” – A digital collage by 	Aya Itani,2024-05-23,,
147,metmedia,0,https://www.mymetmedia.com/bc-ep17/,"Business Cents Episode 17: Saving, Retirement Savings, and Employee Benefit Decisions: Part II​",2024-05-22,,
